FID,Shape *,Evento,PC1_woe,PC2_woe,V2X_woe,X1R_woe,X3R_woe
680,Point ZM,0,0.496723,0.616158,-0.202755,0.165285,0.543944
681,Point ZM,0,0.965277,-0.186688,-1.75235,0.165285,-0.809453
682,Point ZM,0,0.965277,-0.186688,-0.202755,0.165285,-0.298904
683,Point ZM,0,0.496723,0.616158,-1.75235,0.165285,-0.809453
684,Point ZM,0,-0.873904,-1.03019,-0.202755,0.165285,-0.809453
686,Point ZM,0,0.496723,-0.159533,-0.202755,0.165285,-0.809453
687,Point ZM,0,0.965277,-0.159533,-0.202755,0.165285,0.083882
692,Point ZM,0,-0.873904,-1.03019,-0.202755,0.165285,-0.809453
702,Point ZM,0,0.496723,0.304827,-0.626496,0.165285,-0.809453
706,Point ZM,0,-0.431997,0.304827,-0.626496,0.165285,-0.298904
717,Point ZM,0,-0.873904,-0.159533,-0.626496,0.165285,-0.809453
718,Point ZM,0,-0.431997,-0.186688,-0.012,0.165285,0.083882
719,Point ZM,0,0.496723,-1.03019,-1.03193,0.165285,-0.809453
723,Point ZM,0,-0.431997,-1.03019,-0.012,0.165285,0.17043
726,Point ZM,0,-1.11444,-0.186688,-0.682033,0.165285,-0.809453
727,Point ZM,0,0.965277,-1.03019,-1.54559,0.165285,0.083882
728,Point ZM,0,0.965277,-0.186688,-0.657437,0.165285,0.083882
729,Point ZM,0,0.965277,0.304827,-1.46465,0.165285,0.083882
730,Point ZM,0,0.965277,0.304827,-0.657437,0.165285,0.17043
731,Point ZM,0,0.965277,0.616158,-0.657437,0.165285,0.17043
732,Point ZM,0,0.965277,0.616158,-0.657437,0.165285,0.17043
733,Point ZM,0,0.965277,0.616158,-0.657437,0.165285,0.083882
734,Point ZM,0,0.965277,-0.186688,-1.46465,0.165285,0.083882
737,Point ZM,0,0.965277,0.304827,-0.657437,0.165285,0.083882
738,Point ZM,0,0.965277,0.616158,-0.202755,0.165285,0.083882
739,Point ZM,0,0.496723,0.616158,-0.202755,0.165285,0.17043
741,Point ZM,0,0.965277,-0.159533,-0.202755,0.165285,0.083882
748,Point ZM,0,0.965277,0.616158,-1.54559,0.165285,0.17043
